# input | exact output: flags, degree, periodic, complete homogeneous controls and knots
unclamped_nonuniform_d20_roundtrip S 20 81 7 2 -2 -6 -5 0.5 -1 -5 2 1 0 -2 -2 1.5 1 3 5 0.5 2 -3 1 1 3 6 -3 1.5 4 4 4 0.5 5 4 0 1 6 6 -4 1.5 7 -3 3 0.5 8 3 -1 1 9 -2 -5 1.5 10 -5 2 0.5 11 -6 -2 1 12 -5 5 1.5 13 -2 1 0.5 14 3 -3 1 15 -3 4 1.5 16 6 0 0.5 17 4 -4 1 18 4 3 1.5 19 6 -1 0.5 20 -3 -5 1 21 3 2 1.5 22 -2 -2 0.5 23 -5 5 1 24 -6 1 1.5 25 -5 -3 0.5 26 -2 4 1 27 3 0 1.5 28 -3 -4 0.5 29 6 3 1 30 4 -1 1.5 31 4 -5 0.5 32 6 2 1 33 -3 -2 1.5 34 3 5 0.5 35 -2 1 1 36 -5 -3 1.5 37 -6 4 0.5 38 -5 0 1 39 -2 -4 1.5 40 3 3 0.5 41 -3 -1 1 42 6 -5 1.5 43 4 2 0.5 44 4 -2 1 45 6 5 1.5 46 -3 1 0.5 47 3 -3 1 48 -2 4 1.5 49 -5 0 0.5 50 -6 -4 1 51 -5 3 1.5 52 -2 -1 0.5 53 3 -5 1 54 -3 2 1.5 55 6 -2 0.5 56 4 5 1 57 4 1 1.5 58 6 -3 0.5 59 -3 4 1 60 3 0 1.5 61 -2 -4 0.5 62 -5 3 1 63 -6 -1 1.5 64 -5 -5 0.5 65 -2 2 1 66 3 -2 1.5 67 -3 5 0.5 68 6 1 1 69 4 -3 1.5 70 4 4 0.5 71 6 0 1 72 -3 -4 1.5 73 3 3 0.5 74 -2 -1 1 75 -5 -5 1.5 76 -6 2 0.5 77 -5 -2 1 78 -2 5 1.5 -2 20 -1 20 0 1 1 20 2 1 3 20 4 20 I -0.75 1 R -0.75 0 | unclamped_nonuniform_d20_roundtrip R 2 1 1 20 0 81 7 -1 3 -1 -3 -5/2 1/2 -1 -5 2 1 0 -3 -3 3/2 1/2 3/2 5/2 1/2 2 -3 1 1 9/2 9 -9/2 3/2 2 2 2 1/2 5 4 0 1 9 9 -6 3/2 7/2 -3/2 3/2 1/2 8 3 -1 1 27/2 -3 -15/2 3/2 5 -5/2 1 1/2 11 -6 -2 1 18 -15/2 15/2 3/2 13/2 -1 1/2 1/2 14 3 -3 1 45/2 -9/2 6 3/2 8 3 0 1/2 17 4 -4 1 27 6 9/2 3/2 19/2 3 -1/2 1/2 20 -3 -5 1 63/2 9/2 3 3/2 11 -1 -1 1/2 23 -5 5 1 36 -9 3/2 3/2 25/2 -5/2 -3/2 1/2 26 -2 4 1 81/2 9/2 0 3/2 14 -3/2 -2 1/2 29 6 3 1 45 6 -3/2 3/2 31/2 2 -5/2 1/2 32 6 2 1 99/2 -9/2 -3 3/2 17 3/2 5/2 1/2 35 -2 1 1 54 -15/2 -9/2 3/2 37/2 -3 2 1/2 38 -5 0 1 117/2 -3 -6 3/2 20 3/2 3/2 1/2 41 -3 -1 1 63 9 -15/2 3/2 43/2 2 1 1/2 44 4 -2 1 135/2 9 15/2 3/2 23 -3/2 1/2 1/2 47 3 -3 1 72 -3 6 3/2 49/2 -5/2 0 1/2 50 -6 -4 1 153/2 -15/2 9/2 3/2 26 -1 -1/2 1/2 53 3 -5 1 81 -9/2 3 3/2 55/2 3 -1 1/2 56 4 5 1 171/2 6 3/2 3/2 29 3 -3/2 1/2 59 -3 4 1 90 9/2 0 3/2 61/2 -1 -2 1/2 62 -5 3 1 189/2 -9 -3/2 3/2 32 -5/2 -5/2 1/2 65 -2 2 1 99 9/2 -3 3/2 67/2 -3/2 5/2 1/2 68 6 1 1 207/2 6 -9/2 3/2 35 2 2 1/2 71 6 0 1 108 -9/2 -6 3/2 73/2 3/2 3/2 1/2 74 -2 -1 1 225/2 -15/2 -15/2 3/2 38 -3 1 1/2 77 -5 -2 1 117 -3 15/2 3/2 -2 20 -1 20 0 1 1 20 2 1 3 20 4 20
unclamped_nonuniform_d20_full_roundtrip S 20 81 7 2 -2 -6 -5 0.5 -1 -5 2 1 0 -2 -2 1.5 1 3 5 0.5 2 -3 1 1 3 6 -3 1.5 4 4 4 0.5 5 4 0 1 6 6 -4 1.5 7 -3 3 0.5 8 3 -1 1 9 -2 -5 1.5 10 -5 2 0.5 11 -6 -2 1 12 -5 5 1.5 13 -2 1 0.5 14 3 -3 1 15 -3 4 1.5 16 6 0 0.5 17 4 -4 1 18 4 3 1.5 19 6 -1 0.5 20 -3 -5 1 21 3 2 1.5 22 -2 -2 0.5 23 -5 5 1 24 -6 1 1.5 25 -5 -3 0.5 26 -2 4 1 27 3 0 1.5 28 -3 -4 0.5 29 6 3 1 30 4 -1 1.5 31 4 -5 0.5 32 6 2 1 33 -3 -2 1.5 34 3 5 0.5 35 -2 1 1 36 -5 -3 1.5 37 -6 4 0.5 38 -5 0 1 39 -2 -4 1.5 40 3 3 0.5 41 -3 -1 1 42 6 -5 1.5 43 4 2 0.5 44 4 -2 1 45 6 5 1.5 46 -3 1 0.5 47 3 -3 1 48 -2 4 1.5 49 -5 0 0.5 50 -6 -4 1 51 -5 3 1.5 52 -2 -1 0.5 53 3 -5 1 54 -3 2 1.5 55 6 -2 0.5 56 4 5 1 57 4 1 1.5 58 6 -3 0.5 59 -3 4 1 60 3 0 1.5 61 -2 -4 0.5 62 -5 3 1 63 -6 -1 1.5 64 -5 -5 0.5 65 -2 2 1 66 3 -2 1.5 67 -3 5 0.5 68 6 1 1 69 4 -3 1.5 70 4 4 0.5 71 6 0 1 72 -3 -4 1.5 73 3 3 0.5 74 -2 -1 1 75 -5 -5 1.5 76 -6 2 0.5 77 -5 -2 1 78 -2 5 1.5 -2 20 -1 20 0 1 1 20 2 1 3 20 4 20 I -0.75 20 R -0.75 0 | unclamped_nonuniform_d20_full_roundtrip R 2 1 1 20 0 81 7 -1 3 -1 -3 -5/2 1/2 -1 -5 2 1 0 -3 -3 3/2 1/2 3/2 5/2 1/2 2 -3 1 1 9/2 9 -9/2 3/2 2 2 2 1/2 5 4 0 1 9 9 -6 3/2 7/2 -3/2 3/2 1/2 8 3 -1 1 27/2 -3 -15/2 3/2 5 -5/2 1 1/2 11 -6 -2 1 18 -15/2 15/2 3/2 13/2 -1 1/2 1/2 14 3 -3 1 45/2 -9/2 6 3/2 8 3 0 1/2 17 4 -4 1 27 6 9/2 3/2 19/2 3 -1/2 1/2 20 -3 -5 1 63/2 9/2 3 3/2 11 -1 -1 1/2 23 -5 5 1 36 -9 3/2 3/2 25/2 -5/2 -3/2 1/2 26 -2 4 1 81/2 9/2 0 3/2 14 -3/2 -2 1/2 29 6 3 1 45 6 -3/2 3/2 31/2 2 -5/2 1/2 32 6 2 1 99/2 -9/2 -3 3/2 17 3/2 5/2 1/2 35 -2 1 1 54 -15/2 -9/2 3/2 37/2 -3 2 1/2 38 -5 0 1 117/2 -3 -6 3/2 20 3/2 3/2 1/2 41 -3 -1 1 63 9 -15/2 3/2 43/2 2 1 1/2 44 4 -2 1 135/2 9 15/2 3/2 23 -3/2 1/2 1/2 47 3 -3 1 72 -3 6 3/2 49/2 -5/2 0 1/2 50 -6 -4 1 153/2 -15/2 9/2 3/2 26 -1 -1/2 1/2 53 3 -5 1 81 -9/2 3 3/2 55/2 3 -1 1/2 56 4 5 1 171/2 6 3/2 3/2 29 3 -3/2 1/2 59 -3 4 1 90 9/2 0 3/2 61/2 -1 -2 1/2 62 -5 3 1 189/2 -9 -3/2 3/2 32 -5/2 -5/2 1/2 65 -2 2 1 99 9/2 -3 3/2 67/2 -3/2 5/2 1/2 68 6 1 1 207/2 6 -9/2 3/2 35 2 2 1/2 71 6 0 1 108 -9/2 -6 3/2 73/2 3/2 3/2 1/2 74 -2 -1 1 225/2 -15/2 -15/2 3/2 38 -3 1 1/2 77 -5 -2 1 117 -3 15/2 3/2 -2 20 -1 20 0 1 1 20 2 1 3 20 4 20
unclamped_nonuniform_d20_remove_existing S 20 81 7 1 -2 -6 -5 0.5 -1 -5 2 1 0 -2 -2 1.5 1 3 5 0.5 2 -3 1 1 3 6 -3 1.5 4 4 4 0.5 5 4 0 1 6 6 -4 1.5 7 -3 3 0.5 8 3 -1 1 9 -2 -5 1.5 10 -5 2 0.5 11 -6 -2 1 12 -5 5 1.5 13 -2 1 0.5 14 3 -3 1 15 -3 4 1.5 16 6 0 0.5 17 4 -4 1 18 4 3 1.5 19 6 -1 0.5 20 -3 -5 1 21 3 2 1.5 22 -2 -2 0.5 23 -5 5 1 24 -6 1 1.5 25 -5 -3 0.5 26 -2 4 1 27 3 0 1.5 28 -3 -4 0.5 29 6 3 1 30 4 -1 1.5 31 4 -5 0.5 32 6 2 1 33 -3 -2 1.5 34 3 5 0.5 35 -2 1 1 36 -5 -3 1.5 37 -6 4 0.5 38 -5 0 1 39 -2 -4 1.5 40 3 3 0.5 41 -3 -1 1 42 6 -5 1.5 43 4 2 0.5 44 4 -2 1 45 6 5 1.5 46 -3 1 0.5 47 3 -3 1 48 -2 4 1.5 49 -5 0 0.5 50 -6 -4 1 51 -5 3 1.5 52 -2 -1 0.5 53 3 -5 1 54 -3 2 1.5 55 6 -2 0.5 56 4 5 1 57 4 1 1.5 58 6 -3 0.5 59 -3 4 1 60 3 0 1.5 61 -2 -4 0.5 62 -5 3 1 63 -6 -1 1.5 64 -5 -5 0.5 65 -2 2 1 66 3 -2 1.5 67 -3 5 0.5 68 6 1 1 69 4 -3 1.5 70 4 4 0.5 71 6 0 1 72 -3 -4 1.5 73 3 3 0.5 74 -2 -1 1 75 -5 -5 1.5 76 -6 2 0.5 77 -5 -2 1 78 -2 5 1.5 -2 20 -1 20 0 1 1 20 2 1 3 20 4 20 R 0 0 | unclamped_nonuniform_d20_remove_existing R 1 0 20 0 81 7 -1 3 -1 -3 -5/2 1/2 -1 -5 2 1 0 -3 -3 3/2 1/2 3/2 5/2 1/2 2 -3 1 1 9/2 9 -9/2 3/2 2 2 2 1/2 5 4 0 1 9 9 -6 3/2 7/2 -3/2 3/2 1/2 8 3 -1 1 27/2 -3 -15/2 3/2 5 -5/2 1 1/2 11 -6 -2 1 18 -15/2 15/2 3/2 13/2 -1 1/2 1/2 14 3 -3 1 45/2 -9/2 6 3/2 8 3 0 1/2 17 4 -4 1 27 6 9/2 3/2 19/2 3 -1/2 1/2 20 -3 -5 1 63/2 9/2 3 3/2 11 -1 -1 1/2 23 -5 5 1 36 -9 3/2 3/2 25/2 -5/2 -3/2 1/2 26 -2 4 1 81/2 9/2 0 3/2 14 -3/2 -2 1/2 29 6 3 1 45 6 -3/2 3/2 31/2 2 -5/2 1/2 32 6 2 1 99/2 -9/2 -3 3/2 17 3/2 5/2 1/2 35 -2 1 1 54 -15/2 -9/2 3/2 37/2 -3 2 1/2 38 -5 0 1 117/2 -3 -6 3/2 20 3/2 3/2 1/2 41 -3 -1 1 63 9 -15/2 3/2 43/2 2 1 1/2 44 4 -2 1 135/2 9 15/2 3/2 23 -3/2 1/2 1/2 47 3 -3 1 72 -3 6 3/2 49/2 -5/2 0 1/2 50 -6 -4 1 153/2 -15/2 9/2 3/2 26 -1 -1/2 1/2 53 3 -5 1 81 -9/2 3 3/2 55/2 3 -1 1/2 56 4 5 1 171/2 6 3/2 3/2 29 3 -3/2 1/2 59 -3 4 1 90 9/2 0 3/2 61/2 -1 -2 1/2 62 -5 3 1 189/2 -9 -3/2 3/2 32 -5/2 -5/2 1/2 65 -2 2 1 99 9/2 -3 3/2 67/2 -3/2 5/2 1/2 68 6 1 1 207/2 6 -9/2 3/2 35 2 2 1/2 71 6 0 1 108 -9/2 -6 3/2 73/2 3/2 3/2 1/2 74 -2 -1 1 225/2 -15/2 -15/2 3/2 38 -3 1 1/2 77 -5 -2 1 117 -3 15/2 3/2 -2 20 -1 20 0 1 1 20 2 1 3 20 4 20
unclamped_nonuniform_d20_domain_ends S 20 81 7 2 -2 -6 -5 0.5 -1 -5 2 1 0 -2 -2 1.5 1 3 5 0.5 2 -3 1 1 3 6 -3 1.5 4 4 4 0.5 5 4 0 1 6 6 -4 1.5 7 -3 3 0.5 8 3 -1 1 9 -2 -5 1.5 10 -5 2 0.5 11 -6 -2 1 12 -5 5 1.5 13 -2 1 0.5 14 3 -3 1 15 -3 4 1.5 16 6 0 0.5 17 4 -4 1 18 4 3 1.5 19 6 -1 0.5 20 -3 -5 1 21 3 2 1.5 22 -2 -2 0.5 23 -5 5 1 24 -6 1 1.5 25 -5 -3 0.5 26 -2 4 1 27 3 0 1.5 28 -3 -4 0.5 29 6 3 1 30 4 -1 1.5 31 4 -5 0.5 32 6 2 1 33 -3 -2 1.5 34 3 5 0.5 35 -2 1 1 36 -5 -3 1.5 37 -6 4 0.5 38 -5 0 1 39 -2 -4 1.5 40 3 3 0.5 41 -3 -1 1 42 6 -5 1.5 43 4 2 0.5 44 4 -2 1 45 6 5 1.5 46 -3 1 0.5 47 3 -3 1 48 -2 4 1.5 49 -5 0 0.5 50 -6 -4 1 51 -5 3 1.5 52 -2 -1 0.5 53 3 -5 1 54 -3 2 1.5 55 6 -2 0.5 56 4 5 1 57 4 1 1.5 58 6 -3 0.5 59 -3 4 1 60 3 0 1.5 61 -2 -4 0.5 62 -5 3 1 63 -6 -1 1.5 64 -5 -5 0.5 65 -2 2 1 66 3 -2 1.5 67 -3 5 0.5 68 6 1 1 69 4 -3 1.5 70 4 4 0.5 71 6 0 1 72 -3 -4 1.5 73 3 3 0.5 74 -2 -1 1 75 -5 -5 1.5 76 -6 2 0.5 77 -5 -2 1 78 -2 5 1.5 -2 20 -1 20 0 1 1 20 2 1 3 20 4 20 I -1 20 I 3 20 | unclamped_nonuniform_d20_domain_ends R 2 1 1 20 0 81 7 -1 3 -1 -3 -5/2 1/2 -1 -5 2 1 0 -3 -3 3/2 1/2 3/2 5/2 1/2 2 -3 1 1 9/2 9 -9/2 3/2 2 2 2 1/2 5 4 0 1 9 9 -6 3/2 7/2 -3/2 3/2 1/2 8 3 -1 1 27/2 -3 -15/2 3/2 5 -5/2 1 1/2 11 -6 -2 1 18 -15/2 15/2 3/2 13/2 -1 1/2 1/2 14 3 -3 1 45/2 -9/2 6 3/2 8 3 0 1/2 17 4 -4 1 27 6 9/2 3/2 19/2 3 -1/2 1/2 20 -3 -5 1 63/2 9/2 3 3/2 11 -1 -1 1/2 23 -5 5 1 36 -9 3/2 3/2 25/2 -5/2 -3/2 1/2 26 -2 4 1 81/2 9/2 0 3/2 14 -3/2 -2 1/2 29 6 3 1 45 6 -3/2 3/2 31/2 2 -5/2 1/2 32 6 2 1 99/2 -9/2 -3 3/2 17 3/2 5/2 1/2 35 -2 1 1 54 -15/2 -9/2 3/2 37/2 -3 2 1/2 38 -5 0 1 117/2 -3 -6 3/2 20 3/2 3/2 1/2 41 -3 -1 1 63 9 -15/2 3/2 43/2 2 1 1/2 44 4 -2 1 135/2 9 15/2 3/2 23 -3/2 1/2 1/2 47 3 -3 1 72 -3 6 3/2 49/2 -5/2 0 1/2 50 -6 -4 1 153/2 -15/2 9/2 3/2 26 -1 -1/2 1/2 53 3 -5 1 81 -9/2 3 3/2 55/2 3 -1 1/2 56 4 5 1 171/2 6 3/2 3/2 29 3 -3/2 1/2 59 -3 4 1 90 9/2 0 3/2 61/2 -1 -2 1/2 62 -5 3 1 189/2 -9 -3/2 3/2 32 -5/2 -5/2 1/2 65 -2 2 1 99 9/2 -3 3/2 67/2 -3/2 5/2 1/2 68 6 1 1 207/2 6 -9/2 3/2 35 2 2 1/2 71 6 0 1 108 -9/2 -6 3/2 73/2 3/2 3/2 1/2 74 -2 -1 1 225/2 -15/2 -15/2 3/2 38 -3 1 1/2 77 -5 -2 1 117 -3 15/2 3/2 -2 20 -1 20 0 1 1 20 2 1 3 20 4 20
constant_periodic_d20_identity P 20 23 24 0 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1 22 1 23 1 | constant_periodic_d20_identity R 0 20 1 23 24 0 23 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1 22 1 23 1
constant_periodic_d20_insert P 20 23 24 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1 22 1 23 1 I 0.25 20 | constant_periodic_d20_insert R 1 1 20 1 43 25 0 23 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 0 1 1/4 20 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1 22 1 23 1
constant_periodic_d20_sequence P 20 23 24 4 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1 22 1 23 1 I 0.75 1 I 0.25 20 I 0.75 20 I 0.25 1 | constant_periodic_d20_sequence R 4 1 1 1 1 20 1 63 26 0 23 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 0 1 1/4 20 3/4 20 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1 22 1 23 1
constant_periodic_d20_roundtrip P 20 23 24 2 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1 22 1 23 1 I 0.25 1 R 0.25 0 | constant_periodic_d20_roundtrip R 2 1 1 20 1 23 24 0 23 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1 22 1 23 1
constant_periodic_d20_full_roundtrip P 20 23 24 2 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1 22 1 23 1 I 0.25 20 R 0.25 0 | constant_periodic_d20_full_roundtrip R 2 1 1 20 1 23 24 0 23 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1 22 1 23 1
constant_periodic_d20_remove_existing P 20 23 24 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1 22 1 23 1 R 1 0 | constant_periodic_d20_remove_existing R 1 1 20 1 22 23 0 23 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 0 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1 22 1 23 1
constant_periodic_d20_seam P 20 23 24 2 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1 22 1 23 1 I 0 20 I 23 20 | constant_periodic_d20_seam R 2 1 1 20 1 42 24 0 23 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 2 -3 5 1 0 20 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1 22 1 23 20
